name,circonscription,coalition,image_url
Cheikh Thioro MBACKÉ,Mbacke,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663330107_post.jpg
Sokhna Astou MBACKÉ,Mbacke,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507983620_post.JPG
Mouhamadou NGOM,Matam,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1411325541_post.jpg
Thierno DIOP,Linguere,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663440887_post.jpg
Ousmane THIAM,Kebemer,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663724503_post.jpg
Seydou DIOUF,Rufisque,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1506679797_post.jpg
Mamadou NIANG,Mbour,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663713658_post.jpg
Aminatou DIAO,Velingara,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663421918_post.jpg
Fatou SAGNA,Ziguinchor,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Babacar MBENGUE,Dakar,yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663452173_post.jpg
Serigne Abo Mbacké THIAM,Dakar,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663415701_post.jpg
Seydou DIANKO,Foudiougne,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507688722_post.JPG
Rokhaya DIOUF,Guinguineo,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663440970_post.jpg
Tening DIAO,Koumpentoum,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1507743977_post.JPG
Ababacar MBAYE,Saint-louis,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663354506_post.jpg
Dior MBENGUE,Diourbel,BBY,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705957_post.png
Abass FALL,Dakar,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663442124_post.jpg
Ndiaga NIANG,Pikine,WALLU SÉNÉGAL,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663713784_post.jpg
Chérif Ahmed DICKO,Goudomp,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663705856_post.jpg
Papa Djibril FALL,Mbour,LES SERVITEURS / MPR,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663443627_post.jpg
Fatma MBODJI,Mbacke,Yewwi Askan Wi,http://www.assemblee-nationale.sn/vignette350x250bankimages/1663577396_post.jpg
